Date,dow_jones_index
2014-05-01,15540.0
2014-05-02,15640.0
2014-05-03,15540.0
2014-05-04,15540.0
2014-05-05,15540.0
2014-05-06,15540.0
2014-05-07,15440.0
2014-05-08,15470.0
2014-05-09,15570.0
2014-05-10,15535.0
2014-05-11,15535.0
2014-05-12,15500.0
2014-05-13,15700.0
2014-05-14,15710.0
2014-05-15,15600.0
2014-05-16,15410.0
2014-05-17,15380.0
2014-05-18,15380.0
2014-05-19,15350.0
2014-05-20,15360.0
2014-05-21,15250.0
2014-05-22,15480.0
2014-05-23,15550.0
2014-05-24,15570.0
2014-05-25,15570.0
2014-05-26,15590.0
2014-05-27,15600.0
2014-05-28,15510.0
2014-05-29,15420.0
2014-05-30,15480.0
2014-05-31,15530.0
2014-06-01,15530.0
2014-06-02,15580.0
2014-06-03,15560.0
2014-06-04,15560.0
2014-06-05,15490.0
2014-06-06,15545.0
2014-06-07,15545.0
2014-06-08,15545.0
2014-06-09,15600.0
2014-06-10,15500.0
2014-06-11,15550.0
2014-06-12,15530.0
2014-06-13,15520.0
2014-06-14,15460.0
2014-06-15,15460.0
2014-06-16,15400.0
2014-06-17,15470.0
2014-06-18,15420.0
2014-06-19,15480.0
2014-06-20,15410.0
2014-06-21,15440.0
2014-06-22,15440.0
2014-06-23,15470.0
2014-06-24,15400.0
2014-06-25,15350.0
2014-06-26,15400.0
2014-06-27,15250.0
2014-06-28,15240.0
2014-06-29,15240.0
2014-06-30,15230.0
2014-07-01,15280.0
2014-07-02,15300.0
2014-07-03,15320.0
2014-07-04,15390.0
2014-07-05,15375.0
2014-07-06,15375.0
2014-07-07,15360.0
2014-07-08,15265.0
2014-07-09,15170.0
2014-07-10,15220.0
2014-07-11,15130.0
2014-07-12,15210.0
2014-07-13,15210.0
2014-07-14,15210.0
2014-07-15,15290.0
2014-07-16,15200.0
2014-07-17,15230.0
2014-07-18,15120.0
2014-07-19,15120.0
2014-07-20,15120.0
2014-07-21,15120.0
2014-07-22,15120.0
2014-07-23,15090.0
2014-07-24,15050.0
2014-07-25,15010.0
2014-07-26,15005.0
2014-07-27,15005.0
2014-07-28,15000.0
2014-07-29,14930.0
2014-07-30,14930.0
2014-07-31,14860.0
2014-08-01,14910.0
2014-08-02,14855.0
2014-08-03,14855.0
2014-08-04,14800.0
2014-08-05,14820.0
2014-08-06,14700.0
2014-08-07,14620.0
2014-08-08,14500.0
2014-08-09,14750.0
2014-08-10,14750.0
2014-08-11,15000.0
2014-08-12,15000.0
2014-08-13,14920.0
2014-08-14,14990.0
2014-08-15,15100.0
2014-08-16,15050.0
2014-08-17,15050.0
2014-08-18,15000.0
2014-08-19,15100.0
2014-08-20,15160.0
2014-08-21,15030.0
2014-08-22,15030.0
2014-08-23,14940.0
2014-08-24,14940.0
2014-08-25,14850.0
2014-08-26,15010.0
2014-08-27,14950.0
2014-08-28,15060.0
2014-08-29,15150.0
2014-08-30,15160.0
2014-08-31,15160.0
2014-09-01,15170.0
2014-09-02,15410.0
2014-09-03,15360.0
2014-09-04,15400.0
2014-09-05,15560.0
2014-09-06,15625.0
2014-09-07,15625.0
2014-09-08,15690.0
2014-09-09,15760.0
2014-09-10,16000.0
2014-09-11,16370.0
2014-09-12,16600.0
2014-09-13,16610.0
2014-09-14,16610.0
2014-09-15,16610.0
2014-09-16,16620.0
2014-09-17,16770.0
2014-09-18,17190.0
2014-09-19,17380.0
2014-09-20,17345.0
2014-09-21,17345.0
2014-09-22,17310.0
2014-09-23,17270.0
2014-09-24,17230.0
2014-09-25,17770.0
2014-09-26,17590.0
2014-09-27,17645.0
2014-09-28,17645.0
2014-09-29,17700.0
2014-09-30,17680.0
2014-10-01,17640.0
2014-10-02,17450.0
2014-10-03,17450.0
2014-10-04,17575.0
2014-10-05,17575.0
2014-10-06,17700.0
2014-10-07,17650.0
2014-10-08,17350.0
2014-10-09,17390.0
2014-10-10,17220.0
2014-10-11,17025.0
2014-10-12,17025.0
2014-10-13,17025.0
2014-10-14,16830.0
2014-10-15,16880.0
2014-10-16,16450.0
2014-10-17,16440.0
2014-10-18,16650.0
2014-10-19,16650.0
2014-10-20,16860.0
2014-10-21,16700.0
2014-10-22,17030.0
2014-10-23,17060.0
2014-10-24,17170.0
2014-10-25,17305.0
2014-10-26,17305.0
2014-10-27,17440.0
2014-10-28,17320.0
2014-10-29,17570.0
2014-10-30,17670.0
2014-10-31,18520.0
2014-11-01,18620.0
2014-11-02,18620.0
2014-11-03,18620.0
2014-11-04,18720.0
2014-11-05,19000.0
2014-11-06,19120.0
2014-11-07,19280.0
2014-11-08,19200.0
2014-11-09,19200.0
2014-11-10,19120.0
2014-11-11,19310.0
2014-11-12,19330.0
2014-11-13,19460.0
2014-11-14,19550.0
2014-11-15,19475.0
2014-11-16,19475.0
2014-11-17,19400.0
2014-11-18,19590.0
2014-11-19,19850.0
2014-11-20,20000.0
2014-11-21,20020.0
2014-11-22,20060.0
2014-11-23,20060.0
2014-11-24,20060.0
2014-11-25,20100.0
2014-11-26,20110.0
2014-11-27,20020.0
2014-11-28,20160.0
2014-11-29,20175.0
2014-11-30,20175.0
2014-12-01,20190.0
2014-12-02,20190.0
2014-12-03,20430.0
2014-12-04,20540.0
2014-12-05,20620.0
2014-12-06,20785.0
2014-12-07,20785.0
2014-12-08,20950.0
2014-12-09,20550.0
2014-12-10,20200.0
2014-12-11,19940.0
2014-12-12,19980.0
2014-12-13,19790.0
2014-12-14,19790.0
